Value,Pixel count,Area (deg2)
0.146401,1,0.000000000000087748274545053400
0.146418,1,0.000000000000087748274545053400
0.146429,1,0.000000000000087748274545053400
0.147827,1,0.000000000000087748274545053400
0.149,1,0.000000000000087748274545053400
0.150397,1,0.000000000000087748274545053400
0.152404,1,0.000000000000087748274545053400
0.155422,1,0.000000000000087748274545053400
0.157571,1,0.000000000000087748274545053400
0.158146,1,0.000000000000087748274545053400
0.158989,1,0.000000000000087748274545053400
0.160179,1,0.000000000000087748274545053400
0.16078,1238,0.000000000108632363886776000000
0.165744,1,0.000000000000087748274545053400
0.165994,1,0.000000000000087748274545053400
0.168577,1,0.000000000000087748274545053400
0.169104,1,0.000000000000087748274545053400
0.172345,1,0.000000000000087748274545053400
0.173186,1,0.000000000000087748274545053400
0.173258,1,0.000000000000087748274545053400
0.173293,1,0.000000000000087748274545053400
0.173362,1,0.000000000000087748274545053400
0.173521,1,0.000000000000087748274545053400
0.173783,1,0.000000000000087748274545053400
0.174256,1,0.000000000000087748274545053400
0.174474,1,0.000000000000087748274545053400
0.175246,1,0.000000000000087748274545053400
0.177848,1,0.000000000000087748274545053400
0.180241,1,0.000000000000087748274545053400
0.183055,1,0.000000000000087748274545053400
0.184285,1,0.000000000000087748274545053400
0.184861,1,0.000000000000087748274545053400
0.186231,1,0.000000000000087748274545053400
0.187562,1,0.000000000000087748274545053400
0.188103,1,0.000000000000087748274545053400
0.188193,1,0.000000000000087748274545053400
0.189439,1186,0.000000000104069453610433000000
0.189484,1,0.000000000000087748274545053400
0.189783,1,0.000000000000087748274545053400
0.190213,1,0.000000000000087748274545053400
0.191717,1,0.000000000000087748274545053400
0.192596,1,0.000000000000087748274545053400
0.193616,1,0.000000000000087748274545053400
0.194857,1,0.000000000000087748274545053400
0.196469,1,0.000000000000087748274545053400
0.19749,1141,0.000000000100120781255906000000
0.197808,1,0.000000000000087748274545053400
0.199017,1,0.000000000000087748274545053400
0.200273,1,0.000000000000087748274545053400
0.202948,1,0.000000000000087748274545053400
0.203723,1,0.000000000000087748274545053400
0.207008,1,0.000000000000087748274545053400
0.208645,1,0.000000000000087748274545053400
0.20869,1228,0.000000000107754881141325000000
0.209754,1,0.000000000000087748274545053400
0.21109,1,0.000000000000087748274545053400
0.211421,1,0.000000000000087748274545053400
0.211985,1,0.000000000000087748274545053400
0.213521,1,0.000000000000087748274545053400
0.213525,1,0.000000000000087748274545053400
0.21353,1,0.000000000000087748274545053400
0.213539,1,0.000000000000087748274545053400
0.213553,1,0.000000000000087748274545053400
0.213579,1,0.000000000000087748274545053400
0.213633,1,0.000000000000087748274545053400
